-0.003116,1.48
-0.0031156,1.52
-0.0031152,1.52
-0.0031148,1.44
-0.0031144,1.36
-0.003114,1.36
-0.0031136,1.04
-0.0031132,0.88
-0.0031128,0.88
-0.0031124,0.92
-0.003112,1.32
-0.0031115999,1.4
-0.0031111999,1.48
-0.0031107999,1.36
-0.0031103999,1.36
-0.0031099999,1.4
-0.0031095999,1.36
-0.0031091999,1.36
-0.0031087999,1.36
-0.0031083999,1.36
-0.0031080002,1.48
-0.0031076002,1.24
-0.0031072001,0.84
-0.0031068001,0.84
-0.0031064001,0.88
-0.0031060001,1.04
-0.0031056001,0.96
-0.0031052001,1.28
-0.0031048001,1.24
-0.0031044001,1.32
-0.0031040001,1.4
-0.0031036001,1.36
-0.0031032001,1.24
-0.0031028001,0.84
-0.0031024001,0.84
-0.0031020001,0.84
-0.0031016001,0.36
-0.0031012001,0.36
-0.0031008001,0.32
-0.0031004001,0.32
-0.0031000001,0.32
-0.0030996001,0.32
-0.0030992001,0.32
-0.0030988001,0.32
-0.0030984001,0.32
-0.0030980001,0.32
-0.0030976001,0.32
-0.0030972001,0.52
-0.0030968001,0.88
-0.0030964001,0.88
-0.0030960001,0.72
-0.0030956001,0.56
-0.0030952001,0.88
-0.0030948001,1.2
-0.0030944001,0.92
-0.003094,0.56
-0.0030936,0.84
-0.0030932,0.84
-0.0030928,0.88
-0.0030924,0.84
-0.003092,1.48
-0.0030916,1.52
-0.0030912,1.48
-0.0030908,1.52
-0.0030904,1.52
-0.00309,1.52
-0.0030896,1.52
-0.0030892,1.52
-0.0030888,1.52
-0.0030884,1.52
-0.003088,1.52
-0.0030876,1.56
-0.0030872,1.6
-0.0030868,1.64
-0.0030864,1.48
-0.003086,1.56
-0.0030856,1.6
-0.0030852,1.64
-0.0030848,1.64
-0.0030844,1.68
-0.003084,1.6
-0.0030836,1.6
-0.0030832,1.6
-0.0030828,1.64
-0.0030824,1.64
-0.003082,1.64
-0.0030816,1.68
-0.0030812,1.64
-0.0030807999,1.6
-0.0030803999,1.64
-0.0030799999,1.64
-0.0030795999,1.64
-0.0030791999,1.68
-0.0030787999,1.68
-0.0030783999,1.68
-0.0030779999,1.68
-0.0030776002,1.68
-0.0030772002,1.68
-0.0030768002,1.68
-0.0030764001,1.64
-0.0030760001,1.68
-0.0030756001,1.68
-0.0030752001,1.76
-0.0030748001,1.68
-0.0030744001,1.68
-0.0030740001,1.68
-0.0030736001,1.68
-0.0030732001,1.68
-0.0030728001,1.72
-0.0030724001,1.72
-0.0030720001,1.72
-0.0030716001,1.72
-0.0030712001,1.8
-0.0030708001,1.76
-0.0030704001,1.76
-0.0030700001,1.76
-0.0030696001,1.8
-0.0030692001,1.8
-0.0030688001,1.64
-0.0030684001,1.56
-0.0030680001,1.44
